日期,最高气温,最低气温,天气,风向
2025-01-01,11,1,晴,东南风 2级
2025-01-02,12,3,晴,东北风 2级
2025-01-03,10,3,多云,东南风 3级
2025-01-04,13,4,阴,南风 1级
2025-01-05,13,7,轻度雾霾,西南风 2级
2025-01-06,11,5,晴,北风 3级
2025-01-07,"",1,阴,北风 3级
2025-01-08,10,0,阴,北风 4级
2025-01-09,5,0,多云,北风 4级
2025-01-10,5,-4,多云,北风 3级
2025-01-11,7,-2,多云,西北风 3级
2025-01-12,10,1,多云,西北风 4级
2025-01-13,15,3,多云,南风 2级
2025-01-14,16,7,轻度雾霾,北风 5级
2025-01-15,8,3,晴,北风 4级
2025-01-16,8,0,多云,西南风 2级
2025-01-17,11,1,多云,东南风 2级
2025-01-18,14,3,多云,东南风 2级
2025-01-19,16,5,晴,北风 2级
2025-01-20,13,6,轻度雾霾,东北风 3级
2025-01-21,17,4,中度雾霾,东风 3级
2025-01-22,19,6,轻度雾霾,东南风 3级
2025-01-23,15,9,阴,东北风 3级
2025-01-24,14,8,阴,东风 4级
2025-01-25,12,7,小雨,东北风 4级
2025-01-26,7,3,小雨,西北风 4级
2025-01-27,6,0,晴,西北风 5级
2025-01-28,8,-1,晴,西风 4级
2025-01-29,10,0,轻度雾霾,东南风 3级
2025-01-30,16,2,多云,东南风 3级
2025-01-31,9,7,小雨,西风 2级
2025-02-01,9,6,小雨,东北风 3级
2025-02-02,7,6,阴,北风 3级
2025-02-03,8,4,多云,北风 3级
2025-02-04,10,2,晴,西风 4级
2025-02-05,12,3,多云,西北风 5级
2025-02-06,10,1,多云,北风 2级
2025-02-07,5,-2,晴,北风 5级
2025-02-08,1,-4,晴,西北风 3级
2025-02-09,4,-3,晴,东北风 3级
2025-02-10,10,-1,多云,东南风 3级
2025-02-11,9,4,小雨,东南风 3级
2025-02-12,10,6,轻度雾霾,西北风 4级
2025-02-13,10,3,晴,东北风 3级
2025-02-14,9,4,小雨,东南风 2级
2025-02-15,8,6,小雨,西风 2级
2025-02-16,16,4,多云,西风 4级
2025-02-17,10,5,多云,北风 3级
2025-02-18,12,3,多云,东南风 3级
2025-02-19,13,4,阴,东南风 4级
2025-02-20,7,3,小雨,东风 4级
2025-02-21,7,4,小雨,东风 3级
2025-02-22,8,2,小雨,东风 3级
2025-02-23,8,3,小雨,北风 3级
2025-02-24,8,2,晴,东北风 3级
2025-02-25,8,3,轻度雾霾,东南风 3级
2025-02-26,14,5,阴,东南风 3级
2025-02-27,18,7,轻度雾霾,东南风 2级
2025-02-28,22,10,多云,东南风 3级
2025-03-01,29,12,多云,南风 3级
2025-03-02,30,12,多云,北风 5级
2025-03-03,15,7,小雨,西北风 4级
2025-03-04,8,5,小雨,西风 4级
2025-03-05,9,6,阴,北风 3级
2025-03-06,11,5,多云,北风 3级
2025-03-07,11,3,多云,东北风 3级
2025-03-08,13,4,多云,东北风 3级
2025-03-09,15,4,多云,东南风 4级
2025-03-10,16,10,阴,东南风 2级
2025-03-11,22,11,阴,东北风 3级
2025-03-12,14,11,中雨,东北风 3级
2025-03-13,11,9,小雨,东风 4级
2025-03-14,14,9,小雨,东北风 3级
2025-03-15,9,8,小雨,北风 4级
2025-03-16,11,6,多云,西北风 2级
2025-03-17,13,2,多云,西南风 3级
2025-03-18,12,6,多云,北风 4级
2025-03-19,14,3,多云,东北风 3级
2025-03-20,21,6,晴,西北风 3级
2025-03-21,24,10,晴,西风 4级
2025-03-22,26,13,晴,西风 3级
2025-03-23,29,14,多云,西风 4级
2025-03-24,29,14,晴,西风 4级
2025-03-25,32,16,晴,西南风 2级
2025-03-26,36,18,小雨,南风 4级
2025-03-27,25,11,阴,西北风 5级
2025-03-28,10,6,小雨,东北风 4级
2025-03-29,12,6,小雨,东南风 3级
2025-03-30,13,7,阴,南风 3级
2025-03-31,14,5,阴,东南风 3级
2025-04-01,17,6,多云,东北风 3级
2025-04-02,23,8,多云,西北风 2级
2025-04-03,20,10,多云,东南风 3级
2025-04-04,21,8,阴,东南风 3级
2025-04-05,25,14,小雨,西风 4级
2025-04-06,25,12,晴,东北风 3级
2025-04-07,29,13,阴,南风 4级
2025-04-08,30,18,多云,东风 2级
2025-04-09,31,18,多云,西风 3级
2025-04-10,30,17,多云,东风 3级
2025-04-11,32,15,多云,东南风 3级
2025-04-12,22,9,中雨,西北风 6级
2025-04-13,21,6,晴,西风 5级
2025-04-14,22,13,晴,西南风 5级
2025-04-15,26,12,晴,西风 3级
2025-04-16,32,15,阴,南风 3级
2025-04-17,31,19,阴,南风 3级
2025-04-18,31,18,晴,东南风 3级
2025-04-19,31,18,小雨,北风 3级
2025-04-20,25,15,多云,东北风 3级
2025-04-21,24,15,小雨,东南风 3级
2025-04-22,22,17,小雨,北风 4级
2025-04-23,26,16,多云,东风 3级
2025-04-24,26,16,小雨,东北风 3级
2025-04-25,24,13,多云,东南风 3级
2025-04-26,25,11,多云,东南风 4级
2025-04-27,24,16,阴,东南风 3级
2025-04-28,26,16,多云,北风 3级
2025-04-29,30,14,多云,东南风 3级
2025-04-30,31,18,阴,西南风 3级
2025-05-01,30,19,多云,西北风 4级
2025-05-02,33,16,多云,南风 4级
2025-05-03,28,17,阴,北风 5级
2025-05-04,25,14,阴,东南风 4级
2025-05-05,22,15,大雨,西风 3级
2025-05-06,28,16,阴,东风 2级
2025-05-07,28,15,多云,东南风 4级
2025-05-08,26,17,中雨,东南风 5级
2025-05-09,24,20,小雨,西风 5级
2025-05-10,23,16,多云,西风 4级
2025-05-11,26,15,多云,西北风 4级
2025-05-12,30,16,晴,南风 3级
2025-05-13,32,17,多云,东南风 3级
2025-05-14,34,19,阴,东南风 3级
2025-05-15,30,21,小雨,西北风 3级
2025-05-16,26,21,小雨,西风 3级
2025-05-17,33,20,多云,北风 5级
2025-05-18,27,19,阴,东北风 4级
2025-05-19,34,19,多云,东南风 3级
2025-05-20,34,23,小雨,东南风 3级
2025-05-21,31,23,中雨,西北风 3级
2025-05-22,32,22,小雨,东南风 4级
2025-05-23,22,18,大雨,北风 6级
2025-05-24,24,18,晴,西北风 1级
2025-05-25,25,16,阴,东南风 3级
2025-05-26,27,15,多云,东南风 4级
2025-05-27,27,17,阴,东风 4级
2025-05-28,23,17,小雨,东风 3级
2025-05-29,28,16,晴,东北风 3级
2025-05-30,29,17,多云,东南风 3级
2025-05-31,27,18,中雨,东南风 4级
2025-06-01,20,19,中雨,东南风 4级
2025-06-02,21,19,中雨,西北风 3级
2025-06-03,27,17,多云,东北风 2级
2025-06-04,32,20,多云,东北风 3级
2025-06-05,33,21,多云,南风 4级
2025-06-06,34,21,多云,东南风 3级
2025-06-07,29,24,中雨,北风 3级
2025-06-08,27,22,中雨,东北风 3级
2025-06-09,26,22,小雨,东北风 3级
2025-06-10,23,19,中雨,东北风 3级
2025-06-11,24,20,小雨,东风 3级
2025-06-12,26,20,小雨,东南风 3级
2025-06-13,30,23,多云,东南风 3级
2025-06-14,32,25,小雨,西北风 2级
2025-06-15,26,21,大雨,西风 3级
2025-06-16,34,20,多云,南风 3级
2025-06-17,36,23,晴,东风 2级
2025-06-18,35,24,小雨,东南风 3级
